列表_车名,列表_价格(万),列表_里程(万公里),列表_上牌时间,车辆ID,经销商ID,城市,页码,详情URL,车辆名称,价格(万),表显里程,上牌时间,挡位排量,车辆所在地,档案_上牌时间,档案_表显里程,变速箱,排放标准,排量,发布时间,年检到期,保险到期,质保到期,过户次数,档案_所在地,发动机,车辆级别,车身颜色,燃油标号,驱动方式,留言信息,留言_车辆名称,留言_驱动方式,留言_颜色,留言_出厂时间,留言_交强日期,留言_行驶里程,留言_车辆排量,留言_车辆状态,留言_钥匙,留言_车况,留言_车辆配置
艾力绅 2022款 2.0L e:HEV 豪华版,21.65,4.27,2023/03,54931103,559088,周口,7,https://www.che168.com/dealer/559088/54931103.html,艾力绅 2022款 2.0L e:HEV 豪华版,¥21.65,4.27万公里,2023年03月,自动 / 2L,周口,2023年03月,4.27万公里,,国VI,,2025-05-31,2027-03,2026-03,-,0次（以车辆登记证为准）,,,,黑色,92号,前置前驱,,,,,,,,,,,,
缤瑞 2021款 1.4T CVT F-运动版,4.03,8.07,2021/04,55094457,559088,周口,7,https://www.che168.com/dealer/559088/55094457.html,缤瑞 2021款 1.4T CVT F-运动版,¥4.03,8.07万公里,2021年04月,自动 / 1.4L,周口,2021年04月,8.07万公里,,国VI,,2025-06-14,2027-04,2026-04,-,0次（以车辆登记证为准）,,,紧凑型车,白色,92号,前置前驱,,,,,,,,,,,,
朗逸 2013款 改款经典 1.6L 手动风尚版,3,6.1,2017/11,54760569,621791,周口,7,https://www.che168.com/dealer/621791/54760569.html,朗逸 2013款 改款经典 1.6L 手动风尚版,¥3.00,6.1万公里,2017年11月,手动 / 1.6L,周口,2017年11月,6.1万公里,,国IV(国V),,2025-05-15,2025-11,2025-11,-,1次（以车辆登记证为准）,,,紧凑型车,白色,92号,前置前驱,这辆朗逸 2013款 改款经典 1.6L 手动风尚版，首次上牌时间是2017年11月，目前表显里程为6.1万公里。亮点配置包括ISOFIX儿童座椅接口和防紫外线玻璃。车况良好，适合家庭使用。欢迎到店看车，亲自体验一下吧！,,,,,,,,,,,
宝马X1 2022款 sDrive25Li 领先型,15.05,3.81,2023/03,54871856,559088,周口,7,https://www.che168.com/dealer/559088/54871856.html,宝马X1 2022款 sDrive25Li 领先型,¥15.05,3.81万公里,2023年03月,自动 / 2L,周口,2023年03月,3.81万公里,,国VI,,2025-05-25,2027-03,2026-03,-,0次（以车辆登记证为准）,,,紧凑型SUV,白色,95号,前置前驱,,,,,,,,,,,,
探岳 2019款 征途版 280TSI 两驱豪华型 国VI,8.33,7.24,2019/08,55063624,559088,周口,7,https://www.che168.com/dealer/559088/55063624.html,探岳 2019款 征途版 280TSI 两驱豪华型 国VI,¥8.33,7.24万公里,2019年08月,自动 / 1.4L,周口,2019年08月,7.24万公里,,国VI,,2025-06-12,2025-08,2025-08,-,1次（以车辆登记证为准）,,,中型SUV,黑色,95号,前置前驱,,,,,,,,,,,,
玛奇朵DHT 2021款 1.5L DHT大师版,5.9,4.3,2021/12,54975354,621791,周口,7,https://www.che168.com/dealer/621791/54975354.html,玛奇朵DHT 2021款 1.5L DHT大师版,¥5.90,4.3万公里,2021年12月,自动 / 1.5L,周口,2021年12月,4.3万公里,,国VI,,2025-06-04,2025-12,2025-12,-,1次（以车辆登记证为准）,,,紧凑型SUV,绿色,92号,前置前驱,大学老师的车子，平日里用车很爱惜，有喜欢的来聊,,,,,,,,,,,
领界 2020款 领界S EcoBoost 145 CVT精领型,5.3,4.9,2020/10,54205276,621791,周口,7,https://www.che168.com/dealer/621791/54205276.html,领界 2020款 领界S EcoBoost 145 CVT精领型,¥5.30,4.9万公里,2020年10月,自动 / 1.5L,周口,2020年10月,4.9万公里,,国VI,,2025-03-29,2026-10,2025-10,-,0次（以车辆登记证为准）,,,紧凑型SUV,白色,92号,前置前驱,这辆领界 2020款 领界S EcoBoost 145 CVT精领型，首次上牌时间是2020年10月，目前表显里程为4.9万公里。配置方面，它有ISOFIX儿童座椅接口、自动驻车、蓝牙/车载电话、车联网、OTA升级、车内PM2.5过滤装置和后排出风口。车况良好，欢迎到店看车！,,,,,,,,,,,
蔚来ET7 2022款 100kWh 首发版,17.67,4.65,2022/11,54720240,559088,周口,7,https://www.che168.com/dealer/559088/54720240.html,蔚来ET7 2022款 100kWh 首发版,¥17.67,4.65万公里,2022年11月,自动 / 0L,周口,2022年11月,4.65万公里,,,,2025-05-12,2026-11,2025-11,-,1次（以车辆登记证为准）,,,中大型车,银/灰色,,双电机四驱,,,,,,,,,,,,
领克08 EM-P 2023款 220km 四驱性能Halo,14.46,2.92,2023/09,54456216,559088,周口,7,https://www.che168.com/dealer/559088/54456216.html,领克08 EM-P 2023款 220km 四驱性能Halo,¥14.46,2.92万公里,2023年09月,自动 / 1.5L,周口,2023年09月,2.92万公里,,,,2025-05-24,2025-09,2025-09,-,0次（以车辆登记证为准）,,,中型SUV,绿色,,双电机四驱,,,,,,,,,,,,
宝马i5 2024款 eDrive 35L 尊享型 豪华套装,26.8,0.39,2024/02,54611354,392796,周口,7,https://www.che168.com/dealer/392796/54611354.html,宝马i5 2024款 eDrive 35L 尊享型 豪华套装,¥26.80,0.39万公里,2024年02月,自动 / 0L,郑州,2024年02月,0.39万公里,,,,2025-05-20,2026-02,2026-02,-,1次（以车辆登记证为准）,,,中大型车,银/灰色,,后置后驱,1：宝马官方认证二手车原厂质保。2：承诺无重大事故。3：承诺非泡水火烧车。4：支持第三方机构检测。5：承诺低一年不限里程的原厂质保。6：试乘试驾。7：维修保养记录查询。8：评估单详细信息查询。9：宝马官方认证车贴息贷款服务。,,,,,,,,,,,
魏牌 摩卡 2021款 2.0T 两驱特浓版,8.17,3.34,2022/06,54931399,559088,周口,7,https://www.che168.com/dealer/559088/54931399.html,魏牌 摩卡 2021款 2.0T 两驱特浓版,¥8.17,3.34万公里,2022年06月,自动 / 2L,周口,2022年06月,3.34万公里,,国VI,,2025-06-13,2026-06,2025-06,-,0次（以车辆登记证为准）,,,中型SUV,黑色,92号,前置前驱,,,,,,,,,,,,
宋PLUS新能源 2021款 DM-i 51KM 尊荣型,5.82,9.82,2021/04,54991356,559088,周口,7,https://www.che168.com/dealer/559088/54991356.html,宋PLUS新能源 2021款 DM-i 51KM 尊荣型,¥5.82,9.82万公里,2021年04月,自动 / 1.5L,周口,2021年04月,9.82万公里,,,,2025-06-10,2027-04,2026-04,-,0次（以车辆登记证为准）,,,紧凑型SUV,银/灰色,,前置前驱,,,,,,,,,,,,
途岳 2022款 280TSI 两驱风尚版,7.8,5.4,2022/12,54777195,621791,周口,7,https://www.che168.com/dealer/621791/54777195.html,途岳 2022款 280TSI 两驱风尚版,¥7.80,5.4万公里,2022年12月,自动 / 1.4L,周口,2022年12月,5.4万公里,,国VI,,2025-05-17,2026-12,2025-12,-,0次（以车辆登记证为准）,,,紧凑型SUV,白色,95号,前置前驱,这辆途岳 2022款 280TSI 两驱风尚版，首次上牌时间是2022年12月，目前表显里程为5.4万公里。配置方面，它配备了主动刹车/主动安全系统、ISOFIX儿童座椅接口、自动驻车、无钥匙启动系统、蓝牙/车载电话、车联网和车内PM2.5过滤装置。车况良好，欢迎到店看车，亲自体验一下吧！,,,,,,,,,,,
宏光MINIEV 2022款 GAMEBOY 200km 玩咖款 磷酸铁锂,2.83,2.1,2023/05,54425321,559088,周口,7,https://www.che168.com/dealer/559088/54425321.html,宏光MINIEV 2022款 GAMEBOY 200km 玩咖款 磷酸铁锂,¥2.83,2.1万公里,2023年05月,自动 / 0L,周口,2023年05月,2.1万公里,,,,2025-04-15,2025-05,2025-05,-,0次（以车辆登记证为准）,,,微型车,白色,,后置后驱,,,,,,,,,,,,
宝马1系 2022款 120i M运动曜夜版,10.97,1.93,2023/03,54726466,559088,周口,7,https://www.che168.com/dealer/559088/54726466.html,宝马1系 2022款 120i M运动曜夜版,¥10.97,1.93万公里,2023年03月,自动 / 1.5L,周口,2023年03月,1.93万公里,,国VI,,2025-05-12,2027-03,2026-03,-,0次（以车辆登记证为准）,,,紧凑型车,白色,95号,前置前驱,,,,,,,,,,,,
昂科威Plus 2015款 20T 四驱豪华型,4.2,10.6,2015/05,54449393,621791,周口,7,https://www.che168.com/dealer/621791/54449393.html,昂科威Plus 2015款 20T 四驱豪华型,¥4.20,10.6万公里,2015年05月,自动 / 1.5L,周口,2015年05月,10.6万公里,,国V,,2025-05-18,2025-05,2025-05,-,2次（以车辆登记证为准）,,,中型SUV,香槟/棕色,92号,前置四驱,这辆昂科威Plus 2015款 20T 四驱豪华型，首次上牌时间是2015年5月，目前表显里程为10.6万公里。配置方面，它配备了ISOFIX儿童座椅接口、倒车影像、自动泊车入位、定速巡航等实用功能。此外，还有电动后备厢、无钥匙启动和进入系统、蓝牙/车载电话、车内氛围灯等高端配置。车况良好，欢迎到店看车！,,,,,,,,,,,
探影 2021款 1.5L 自动 尚智联版,5.57,5.18,2021/07,54946354,559088,周口,7,https://www.che168.com/dealer/559088/54946354.html,探影 2021款 1.5L 自动 尚智联版,¥5.57,5.18万公里,2021年07月,自动 / 1.5L,周口,2021年07月,5.18万公里,,国VI,,2025-06-02,2025-07,2025-07,-,0次（以车辆登记证为准）,,,小型SUV,白色,92号,前置前驱,,,,,,,,,,,,
宋L DM-i 2024款 112km 超越型,10.49,0.53,2024/08,54828084,559088,周口,7,https://www.che168.com/dealer/559088/54828084.html,宋L DM-i 2024款 112km 超越型,¥10.49,0.53万公里,2024年08月,自动 / 1.5L,周口,2024年08月,0.53万公里,,,,2025-05-21,2026-08,2025-08,-,0次（以车辆登记证为准）,,,中型SUV,白色,,前置前驱,,,,,,,,,,,,
捷途山海T2 2024款 C-DM 208KM 山野版,11.6,2.49,2024/06,55069889,646484,周口,7,https://www.che168.com/dealer/646484/55069889.html,捷途山海T2 2024款 C-DM 208KM 山野版,¥11.60,2.49万公里,2024年06月,自动 / 1.5L,郑州,2024年06月,2.49万公里,,,,2025-06-12,2026-06,2025-06,-,1次（以车辆登记证为准）,,,紧凑型SUV,黑色,,前置前驱,车况精品，无重大事故，无火烧泡水，无加装改装配置。让您买的放心，省心，开心。底盘结构：无明显磨损发动机舱：运转良好外观：车身无结构性损伤内饰：干净整洁漆面：保养良好,,,,,,,,,,,
理想L7 2023款 Pro,22.38,3.65,2023/09,54387327,559088,周口,7,https://www.che168.com/dealer/559088/54387327.html,理想L7 2023款 Pro,¥22.38,3.65万公里,2023年09月,自动 / 1.5L,周口,2023年09月,3.65万公里,,,,2025-04-12,2025-09,2025-08,-,1次（以车辆登记证为准）,,,中大型SUV,银/灰色,,双电机四驱,,,,,,,,,,,,
途观 2016款 330TSI 自动四驱豪华版,5.4,12.99,2016/01,54393039,559088,周口,7,https://www.che168.com/dealer/559088/54393039.html,途观 2016款 330TSI 自动四驱豪华版,¥5.40,12.99万公里,2016年01月,自动 / 2L,周口,2016年01月,12.99万公里,,国V,,2025-04-17,2025-12,2025-12,-,1次（以车辆登记证为准）,,,紧凑型SUV,白色,95号,前置四驱,,,,,,,,,,,,
高尔夫 2014款 1.4TSI 自动舒适型,3.2,11,2014/07,54934875,621791,周口,7,https://www.che168.com/dealer/621791/54934875.html,高尔夫 2014款 1.4TSI 自动舒适型,¥3.20,11万公里,2014年07月,自动 / 1.4L,周口,2014年07月,11万公里,,国V,,2025-05-31,2025-07,2025-07,-,1次（以车辆登记证为准）,,,紧凑型车,白色,95号,前置前驱,这辆高尔夫 2014款 1.4TSI 自动舒适型，首次上牌时间是2014年7月，目前表显里程为11万公里。配置方面，它有ISOFIX儿童座椅接口、自动驻车、定速巡航、蓝牙/车载电话、转向辅助灯、车内氛围灯、防紫外线玻璃和后排出风口。车况良好，欢迎到店看车！,,,,,,,,,,,
宝马3系 2023款 320Li M运动套装,20.53,3.89,2023/06,55064832,559088,周口,7,https://www.che168.com/dealer/559088/55064832.html,宝马3系 2023款 320Li M运动套装,¥20.53,3.89万公里,2023年06月,自动 / 2L,周口,2023年06月,3.89万公里,,国VI,,2025-06-12,2025-06,2025-06,-,0次（以车辆登记证为准）,,,中型车,黑色,95号,前置后驱,,,,,,,,,,,,
ID.4 CROZZ 2022款 长续航PRO版,12.14,2.06,2023/11,53108487,559088,周口,7,https://www.che168.com/dealer/559088/53108487.html,ID.4 CROZZ 2022款 长续航PRO版,¥12.14,2.06万公里,2023年11月,自动 / 0L,周口,2023年11月,2.06万公里,,,,2025-04-15,2025-11,2025-11,-,0次（以车辆登记证为准）,,,紧凑型SUV,银/灰色,,后置后驱,,,,,,,,,,,,
林肯MKZ 2019款 2.0T 尊雅版 国V,7.55,8.4,2018/06,53845263,621791,周口,7,https://www.che168.com/dealer/621791/53845263.html,林肯MKZ 2019款 2.0T 尊雅版 国V,¥7.55,8.4万公里,2018年06月,自动 / 2L,周口,2018年06月,8.4万公里,,国V,,2025-05-26,2025-06,2025-06,-,2次（以车辆登记证为准）,,,中型车,红/紫色,92号,前置前驱,车况精品，无重大事故，无火烧泡水，无加装改装配置。让您买的放心，省心，开心。底盘结构：无明显磨损发动机舱：运转良好外观：车身无结构性损伤内饰：干净整洁漆面：保养良好,,,,,,,,,,,
高尔夫 2018款 280TSI 自动R-Line型,6.83,9.68,2018/12,54978599,559088,周口,7,https://www.che168.com/dealer/559088/54978599.html,高尔夫 2018款 280TSI 自动R-Line型,¥6.83,9.68万公里,2018年12月,自动 / 1.4L,周口,2018年12月,9.68万公里,,国V,,2025-06-11,2025-12,2025-12,-,0次（以车辆登记证为准）,,,紧凑型车,黑色,95号,前置前驱,,,,,,,,,,,,
传祺GS3 2019款 235T 自动精英版,3.9,6.9,2020/08,54405562,621791,周口,7,https://www.che168.com/dealer/621791/54405562.html,传祺GS3 2019款 235T 自动精英版,¥3.90,6.9万公里,2020年08月,自动 / 1.5L,周口,2020年08月,6.9万公里,,国VI,,2025-04-14,2026-08,2025-08,-,1次（以车辆登记证为准）,,,小型SUV,白色,92号,前置前驱,这辆传祺GS3 2019款 235T 自动精英版，首次上牌时间是2020年8月，目前表显里程为6.9万公里。亮点配置包括ISOFIX儿童座椅接口、无钥匙启动系统、蓝牙/车载电话、车内PM2.5过滤装置和后排出风口。车况良好，欢迎到店看车！,,,,,,,,,,,
汉 2023款 EV 冠军版 506KM前驱尊贵型,11.89,1.77,2023/08,54790507,559088,周口,7,https://www.che168.com/dealer/559088/54790507.html,汉 2023款 EV 冠军版 506KM前驱尊贵型,¥11.89,1.77万公里,2023年08月,自动 / 0L,周口,2023年08月,1.77万公里,,,,2025-06-12,2025-08,2025-07,-,1次（以车辆登记证为准）,,,中大型车,蓝色,,前置前驱,,,,,,,,,,,,
宝马1系 2023款 125i M运动曜夜版,11.36,5.37,2023/03,54951395,559088,周口,7,https://www.che168.com/dealer/559088/54951395.html,宝马1系 2023款 125i M运动曜夜版,¥11.36,5.37万公里,2023年03月,自动 / 2L,周口,2023年03月,5.37万公里,,国VI,,2025-06-02,2027-03,2026-03,-,0次（以车辆登记证为准）,,,紧凑型车,白色,95号,前置前驱,,,,,,,,,,,,
宝马7系 2004款 745Li,4.68,23,2003/05,54849197,645802,周口,7,https://www.che168.com/dealer/645802/54849197.html,宝马7系 2004款 745Li,¥4.68,23万公里,2003年05月,自动 / 4.4L,漯河,2003年05月,23万公里,,欧IV,,2025-05-23,2025-11,2025-05,-,3次（以车辆登记证为准）,,,大型车,黑色,95号,前置后驱,车况精品，无重大事故，无火烧泡水，无加装改装配置。让您买的放心，省心，开心。底盘结构：无明显磨损发动机舱：运转良好外观：车身无结构性损伤内饰：干净整洁漆面：保养良好,,,,,,,,,,,
Model Y 2022款 长续航全轮驱动版,29.85,2.91,2022/06,54409365,559088,周口,7,https://www.che168.com/dealer/559088/54409365.html,Model Y 2022款 长续航全轮驱动版,¥29.85,2.91万公里,2022年06月,自动 / 0L,周口,2022年06月,2.91万公里,,,,2025-04-14,2026-06,2025-06,-,1次（以车辆登记证为准）,,,中型SUV,黑色,,双电机四驱,,,,,,,,,,,,
未知,未知,未知,未知,未知,未知,周口,7,https://www.che168.com/dealer/未知/未知.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
捷途旅行者 2023款 2.0T 四驱征服PRO,10.98,2.3,2024/04,54979630,646484,周口,8,https://www.che168.com/dealer/646484/54979630.html,捷途旅行者 2023款 2.0T 四驱征服PRO,万,2.3万公里,2024年04月,自动 / 2L,郑州,2024年04月,2.3万公里,,国VI,,2025-06-05,2026-04,2026-04,-,1次（以车辆登记证为准）,,,紧凑型SUV,银/灰色,92号,前置四驱,一手车，无重大事故，无泡水，支持分期！,,,,,,,,,,,
柯迪亚克 2018款 改款 TSI330 7座两驱豪华优享版,7.8,7.09,2019/02,55007001,646484,周口,8,https://www.che168.com/dealer/646484/55007001.html,柯迪亚克 2018款 改款 TSI330 7座两驱豪华优享版,万,7.09万公里,2019年02月,自动 / 2L,郑州,2019年02月,7.09万公里,,国V,,2025-06-07,2026-02,2026-02,-,1次（以车辆登记证为准）,,,中型SUV,香槟/棕色,95号,前置前驱,车况精品，无重大事故，无火烧泡水，无加装改装配置。让您买的放心，省心，开心。底盘结构：无明显磨损发动机舱：运转良好外观：车身无结构性损伤内饰：干净整洁漆面：保养良好,,,,,,,,,,,
蔚来EC6 2023款 75kWh,21.2,1.29,2023/11,55028019,523839,周口,8,https://www.che168.com/dealer/523839/55028019.html,蔚来EC6 2023款 75kWh,¥21.20,1.29万公里,2023年11月,自动 / 0L,武汉,2023年11月,1.29万公里,,,,2025-06-09,2025-11,2025-11,-,1次（以车辆登记证为准）,,,中型SUV,银/灰色,,双电机四驱,详情咨询客服，获取完整车源表！每天上新30台，预约专属顾问，享成交好礼！,,,,,,,,,,,
探岳 2019款 380TSI 四驱R-Line 国VI,9.75,7.47,2019/09,54352918,559088,周口,8,https://www.che168.com/dealer/559088/54352918.html,探岳 2019款 380TSI 四驱R-Line 国VI,¥9.75,7.47万公里,2019年09月,自动 / 2L,周口,2019年09月,7.47万公里,,国VI,,2025-04-12,2025-09,2025-09,-,0次（以车辆登记证为准）,,,中型SUV,银/灰色,95号,前置四驱,,,,,,,,,,,,
高尔夫 2021款 280TSI DSG 30周年纪念版,8.52,5.8,2021/07,55074785,559088,周口,8,https://www.che168.com/dealer/559088/55074785.html,高尔夫 2021款 280TSI DSG 30周年纪念版,¥8.52,5.8万公里,2021年07月,自动 / 1.4L,周口,2021年07月,5.8万公里,,国VI,,2025-06-13,2025-07,2025-07,-,0次（以车辆登记证为准）,,,紧凑型车,白色,95号,前置前驱,,,,,,,,,,,,
传祺M8 2021款 大师系列 390T 尊贵版,11.98,5.7,2021/02,55040252,646484,周口,8,https://www.che168.com/dealer/646484/55040252.html,传祺M8 2021款 大师系列 390T 尊贵版,万,5.7万公里,2021年02月,自动 / 2L,郑州,2021年02月,5.7万公里,,国VI,,2025-06-10,2027-02,2026-02,-,1次（以车辆登记证为准）,,,,白色,95号,前置前驱,车况精品，无重大事故，无火烧泡水，无加装改装配置。让您买的放心，省心，开心。底盘结构：无明显磨损发动机舱：运转良好外观：车身无结构性损伤内饰：干净整洁漆面：保养良好,,,,,,,,,,,
领克06 EM-P 2023款 1.5T Remix PHEV Pro,6.88,5.86,2023/09,54992789,646484,周口,8,https://www.che168.com/dealer/646484/54992789.html,领克06 EM-P 2023款 1.5T Remix PHEV Pro,万,5.86万公里,2023年09月,自动 / 1.5L,郑州,2023年09月,5.86万公里,,,,2025-06-06,2025-09,2025-09,-,1次（以车辆登记证为准）,,,小型SUV,白色,,前置前驱,车况精品，无重大事故，无火烧泡水，无加装改装配置。让您买的放心，省心，开心。底盘结构：无明显磨损发动机舱：运转良好外观：车身无结构性损伤内饰：干净整洁漆面：保养良好,,,,,,,,,,,
奥迪A8 2018款 A8L 55 TFSI quattro投放版尊享型,37.5,10,2019/01,55025803,646484,周口,8,https://www.che168.com/dealer/646484/55025803.html,奥迪A8 2018款 A8L 55 TFSI quattro投放版尊享型,万,10万公里,2019年01月,自动 / 3L,郑州,2019年01月,10万公里,,国V,,2025-06-09,2026-01,2026-01,-,2次（以车辆登记证为准）,,,大型车,黑色,95号,前置四驱,有检测报告，车况精品，无重大事故，无火烧泡水，无加装改装配置。让您买的放心，省心，开心。底盘结构：无明显磨损发动机舱：运转良好外观：车身无结构性损伤内饰：干净整洁漆面：保养良好,,,,,,,,,,,
